Vessel_IMO,Ship_Type,Distance,Fuel_Consumed,Fuel_Type,CO2_Emissions
9800001,Bulk Carrier - Capesize Class,5347.3,2716.54,Bio-Methanol,1222.44
9800001,Bulk Carrier - Capesize Class,9644.8,6745.37,Bio-Methanol,3035.42
9800001,Bulk Carrier - Capesize Class,23.4,14.16,Bio-Methanol,6.37
9800001,Bulk Carrier - Capesize Class,5754.4,2988.63,Bio-Methanol,1344.88
9800001,Bulk Carrier - Capesize Class,391.2,196.94,Bio-Methanol,88.62
9800001,Bulk Carrier - Capesize Class,968.2,422.62,Bio-Methanol,190.18
9800001,Bulk Carrier - Capesize Class,6992.3,3748.52,Bio-Methanol,1686.83
9800001,Bulk Carrier - Capesize Class,242.9,127.51,Bio-Methanol,57.38
9800001,Bulk Carrier - Capesize Class,10080.2,5661.29,Bio-Methanol,2547.58
9800001,Bulk Carrier - Capesize Class,7871.8,4833.02,Bio-Methanol,2174.86
9800001,Bulk Carrier - Capesize Class,6793.2,3782.7,Bio-Methanol,1702.21
9800001,Bulk Carrier - Capesize Class,3611.4,1949.85,Bio-Methanol,877.43
9800002,Bulk Carrier - Panamax Class,4484.0,1881.91,Bio-Methanol,846.86
9800002,Bulk Carrier - Panamax Class,5834.8,2053.11,Bio-Methanol,923.9
9800002,Bulk Carrier - Panamax Class,3819.9,1538.07,Bio-Methanol,692.13
9800002,Bulk Carrier - Panamax Class,6728.4,2488.23,Bio-Methanol,1119.7
9800002,Bulk Carrier - Panamax Class,1707.2,619.11,Bio-Methanol,278.6
9800002,Bulk Carrier - Panamax Class,4899.4,2273.77,Bio-Methanol,1023.2
9800002,Bulk Carrier - Panamax Class,5510.5,2052.33,Bio-Methanol,923.55
9800002,Bulk Carrier - Panamax Class,5436.8,2426.94,Bio-Methanol,1092.12
9800002,Bulk Carrier - Panamax Class,6159.3,1635.31,Bio-Methanol,735.89
9800002,Bulk Carrier - Panamax Class,5752.0,2232.62,Bio-Methanol,1004.68
9800002,Bulk Carrier - Panamax Class,5397.7,2056.49,Bio-Methanol,925.42
9800002,Bulk Carrier - Panamax Class,224.2,77.84,Bio-Methanol,35.03
9800002,Bulk Carrier - Panamax Class,5244.0,1784.84,Bio-Methanol,803.18
9800002,Bulk Carrier - Panamax Class,5144.9,1754.37,Bio-Methanol,789.47
9800003,Bulk Carrier - Supramax Class,3402.3,955.41,Ammonia,47.77
9800003,Bulk Carrier - Supramax Class,5328.4,1341.76,Ammonia,67.09
9800003,Bulk Carrier - Supramax Class,5735.2,1791.73,Ammonia,89.59
9800003,Bulk Carrier - Supramax Class,5397.7,1493.92,Ammonia,74.7
9800003,Bulk Carrier - Supramax Class,4652.2,1039.46,Ammonia,51.97
9800003,Bulk Carrier - Supramax Class,11755.7,2709.44,Ammonia,135.47
9800003,Bulk Carrier - Supramax Class,4852.1,1410.83,Ammonia,70.54
9800003,Bulk Carrier - Supramax Class,8583.6,2934.77,Ammonia,146.74
9800003,Bulk Carrier - Supramax Class,3750.4,963.03,Ammonia,48.15
9800003,Bulk Carrier - Supramax Class,2038.8,572.62,Ammonia,28.63
9800003,Bulk Carrier - Supramax Class,4487.4,1098.62,Ammonia,54.93
9800003,Bulk Carrier - Supramax Class,4840.0,1587.61,Ammonia,79.38
9800003,Bulk Carrier - Supramax Class,1924.4,514.4,Ammonia,25.72
9800003,Bulk Carrier - Supramax Class,4888.8,1129.27,Ammonia,56.46
9800003,Bulk Carrier - Supramax Class,5602.2,1679.42,Ammonia,83.97
9800004,Bulk Carrier - Handysize Class,3484.2,212.58,Biofuel (B30),463.42
9800004,Bulk Carrier - Handysize Class,1732.0,129.92,Biofuel (B30),283.23
9800004,Bulk Carrier - Handysize Class,6059.9,450.27,Biofuel (B30),981.59
9800004,Bulk Carrier - Handysize Class,1260.7,91.09,Biofuel (B30),198.58
9800004,Bulk Carrier - Handysize Class,3497.4,211.96,Biofuel (B30),462.07
9800004,Bulk Carrier - Handysize Class,7285.3,496.44,Biofuel (B30),1082.24
9800004,Bulk Carrier - Handysize Class,6830.7,451.61,Biofuel (B30),984.51
9800004,Bulk Carrier - Handysize Class,1423.9,125.79,Biofuel (B30),274.22
9800004,Bulk Carrier - Handysize Class,7650.8,567.9,Biofuel (B30),1238.02
9800004,Bulk Carrier - Handysize Class,6322.9,521.56,Biofuel (B30),1137.0
9800005,"Container - Ultra Large (24,000 TEU)",5859.7,1122.1,Hydrogen,0.0
9800005,"Container - Ultra Large (24,000 TEU)",5923.3,937.65,Hydrogen,0.0
9800005,"Container - Ultra Large (24,000 TEU)",2888.8,510.9,Hydrogen,0.0
9800005,"Container - Ultra Large (24,000 TEU)",2473.5,515.7,Hydrogen,0.0
9800005,"Container - Ultra Large (24,000 TEU)",5814.7,915.46,Hydrogen,0.0
9800005,"Container - Ultra Large (24,000 TEU)",7583.8,1612.1,Hydrogen,0.0
9800005,"Container - Ultra Large (24,000 TEU)",6091.1,1110.49,Hydrogen,0.0
9800005,"Container - Ultra Large (24,000 TEU)",12664.1,2789.35,Hydrogen,0.0
9800005,"Container - Ultra Large (24,000 TEU)",5502.6,947.25,Hydrogen,0.0
9800005,"Container - Ultra Large (24,000 TEU)",6504.1,1252.27,Hydrogen,0.0
9800006,"Container - Neo-Panamax (15,000 TEU)",1940.6,747.11,LSMGO,2395.23
9800006,"Container - Neo-Panamax (15,000 TEU)",12582.7,4488.65,LSMGO,14390.61
9800006,"Container - Neo-Panamax (15,000 TEU)",560.0,240.19,LSMGO,770.05
9800006,"Container - Neo-Panamax (15,000 TEU)",4303.8,1511.76,LSMGO,4846.7
9800006,"Container - Neo-Panamax (15,000 TEU)",2550.6,834.72,LSMGO,2676.11
9800006,"Container - Neo-Panamax (15,000 TEU)",2630.4,787.85,LSMGO,2525.85
9800006,"Container - Neo-Panamax (15,000 TEU)",6280.4,2406.37,LSMGO,7714.82
9800006,"Container - Neo-Panamax (15,000 TEU)",7512.6,2727.63,LSMGO,8744.78
9800006,"Container - Neo-Panamax (15,000 TEU)",4282.6,1588.13,LSMGO,5091.54
9800006,"Container - Neo-Panamax (15,000 TEU)",2888.8,1006.14,LSMGO,3225.68
9800007,"Container - Post-Panamax (8,500 TEU)",3484.2,1820.4,Bio-Methanol,819.18
9800007,"Container - Post-Panamax (8,500 TEU)",2473.5,1638.08,Bio-Methanol,737.14
9800007,"Container - Post-Panamax (8,500 TEU)",7876.7,5876.88,Bio-Methanol,2644.6
9800007,"Container - Post-Panamax (8,500 TEU)",4236.1,2862.84,Bio-Methanol,1288.28
9800007,"Container - Post-Panamax (8,500 TEU)",9029.7,5554.52,Bio-Methanol,2499.53
9800007,"Container - Post-Panamax (8,500 TEU)",2374.4,1491.51,Bio-Methanol,671.18
9800007,"Container - Post-Panamax (8,500 TEU)",858.0,565.72,Bio-Methanol,254.57
9800007,"Container - Post-Panamax (8,500 TEU)",406.1,271.9,Bio-Methanol,122.35
9800007,"Container - Post-Panamax (8,500 TEU)",6470.3,3692.42,Bio-Methanol,1661.59
9800007,"Container - Post-Panamax (8,500 TEU)",7092.4,4929.54,Bio-Methanol,2218.29
9800007,"Container - Post-Panamax (8,500 TEU)",1741.6,1108.29,Bio-Methanol,498.73
9800007,"Container - Post-Panamax (8,500 TEU)",8109.4,4357.87,Bio-Methanol,1961.04
9800007,"Container - Post-Panamax (8,500 TEU)",5282.0,2475.3,Bio-Methanol,1113.89
9800008,"Container - Panamax (5,000 TEU)",3497.4,1970.13,Bio-Methanol,886.56
9800008,"Container - Panamax (5,000 TEU)",6504.1,3734.03,Bio-Methanol,1680.31
9800008,"Container - Panamax (5,000 TEU)",5928.9,2862.68,Bio-Methanol,1288.21
9800008,"Container - Panamax (5,000 TEU)",10986.5,5937.5,Bio-Methanol,2671.88
9800008,"Container - Panamax (5,000 TEU)",7324.3,2825.08,Bio-Methanol,1271.29
9800008,"Container - Panamax (5,000 TEU)",1401.7,570.8,Bio-Methanol,256.86
9800008,"Container - Panamax (5,000 TEU)",3838.0,1515.22,Bio-Methanol,681.85
9800008,"Container - Panamax (5,000 TEU)",9958.4,5564.57,Bio-Methanol,2504.06
9800008,"Container - Panamax (5,000 TEU)",8656.1,4195.29,Bio-Methanol,1887.88
9800008,"Container - Panamax (5,000 TEU)",6199.4,2910.14,Bio-Methanol,1309.56
9800008,"Container - Panamax (5,000 TEU)",3952.9,1850.16,Bio-Methanol,832.57
9800008,"Container - Panamax (5,000 TEU)",5518.2,2842.94,Bio-Methanol,1279.32
9800008,"Container - Panamax (5,000 TEU)",11004.4,5610.99,Bio-Methanol,2524.95
9800008,"Container - Panamax (5,000 TEU)",1066.3,523.36,Bio-Methanol,235.51
9800009,"Container - Feeder Max (3,500 TEU)",1994.6,629.74,Bio-Methanol,283.38
9800009,"Container - Feeder Max (3,500 TEU)",6241.0,1802.83,Bio-Methanol,811.27
9800009,"Container - Feeder Max (3,500 TEU)",5240.8,1491.21,Bio-Methanol,671.04
9800009,"Container - Feeder Max (3,500 TEU)",10686.1,2792.2,Bio-Methanol,1256.49
9800009,"Container - Feeder Max (3,500 TEU)",3394.9,971.07,Bio-Methanol,436.98
9800009,"Container - Feeder Max (3,500 TEU)",5533.3,1782.32,Bio-Methanol,802.04
9800009,"Container - Feeder Max (3,500 TEU)",7432.3,2877.54,Bio-Methanol,1294.89
9800009,"Container - Feeder Max (3,500 TEU)",1047.2,307.51,Bio-Methanol,138.38
9800009,"Container - Feeder Max (3,500 TEU)",6999.1,2104.81,Bio-Methanol,947.16
9800009,"Container - Feeder Max (3,500 TEU)",7244.5,2322.95,Bio-Methanol,1045.33
9800009,"Container - Feeder Max (3,500 TEU)",1103.2,387.36,Bio-Methanol,174.31
9800009,"Container - Feeder Max (3,500 TEU)",5410.2,1652.91,Bio-Methanol,743.81
