Date,Fuel_Type,Price_Per_Ton,Port
2026-08-01,VLSFO,619.18,Port of Singapore
2026-08-01,LSMGO,775.75,Port of Singapore
2026-08-01,LNG,533.25,Port of Singapore
2026-08-01,Bio-Methanol,501.7,Port of Singapore
2026-08-01,Biofuel (B30),787.09,Port of Singapore
2026-08-01,Ammonia,745.3,Port of Singapore
2026-08-01,Hydrogen,1861.77,Port of Singapore
2026-08-01,VLSFO,602.61,Port of Shanghai
2026-08-01,LSMGO,787.66,Port of Shanghai
2026-08-01,LNG,525.89,Port of Shanghai
2026-08-01,Bio-Methanol,501.56,Port of Shanghai
2026-08-01,Biofuel (B30),780.16,Port of Shanghai
2026-08-01,Ammonia,725.8,Port of Shanghai
2026-08-01,Hydrogen,1840.97,Port of Shanghai
2026-08-01,VLSFO,619.5,Port of Ningbo-Zhoushan
2026-08-01,LSMGO,791.35,Port of Ningbo-Zhoushan
2026-08-01,LNG,531.61,Port of Ningbo-Zhoushan
2026-08-01,Bio-Methanol,512.68,Port of Ningbo-Zhoushan
2026-08-01,Biofuel (B30),789.28,Port of Ningbo-Zhoushan
2026-08-01,Ammonia,725.19,Port of Ningbo-Zhoushan
2026-08-01,Hydrogen,1859.17,Port of Ningbo-Zhoushan
2026-08-01,VLSFO,620.94,Port of Shenzhen
2026-08-01,LSMGO,785.21,Port of Shenzhen
2026-08-01,LNG,529.66,Port of Shenzhen
2026-08-01,Bio-Methanol,523.72,Port of Shenzhen
2026-08-01,Biofuel (B30),775.1,Port of Shenzhen
2026-08-01,Ammonia,727.78,Port of Shenzhen
2026-08-01,Hydrogen,1837.9,Port of Shenzhen
2026-08-01,VLSFO,625.42,Port of Busan
2026-08-01,LSMGO,793.11,Port of Busan
2026-08-01,LNG,549.21,Port of Busan
2026-08-01,Bio-Methanol,516.89,Port of Busan
2026-08-01,Biofuel (B30),781.09,Port of Busan
2026-08-01,Ammonia,754.19,Port of Busan
2026-08-01,Hydrogen,1846.36,Port of Busan
2026-08-01,VLSFO,616.56,Port of Hong Kong
2026-08-01,LSMGO,799.88,Port of Hong Kong
2026-08-01,LNG,543.56,Port of Hong Kong
2026-08-01,Bio-Methanol,520.85,Port of Hong Kong
2026-08-01,Biofuel (B30),782.32,Port of Hong Kong
2026-08-01,Ammonia,746.14,Port of Hong Kong
2026-08-01,Hydrogen,1836.37,Port of Hong Kong
2026-08-01,VLSFO,606.84,Port of Tokyo
2026-08-01,LSMGO,783.68,Port of Tokyo
2026-08-01,LNG,527.39,Port of Tokyo
2026-08-01,Bio-Methanol,501.98,Port of Tokyo
2026-08-01,Biofuel (B30),768.03,Port of Tokyo
2026-08-01,Ammonia,733.34,Port of Tokyo
2026-08-01,Hydrogen,1854.07,Port of Tokyo
2026-08-01,VLSFO,610.94,Port of Yokohama
2026-08-01,LSMGO,786.11,Port of Yokohama
2026-08-01,LNG,531.29,Port of Yokohama
2026-08-01,Bio-Methanol,503.01,Port of Yokohama
2026-08-01,Biofuel (B30),793.1,Port of Yokohama
2026-08-01,Ammonia,744.44,Port of Yokohama
2026-08-01,Hydrogen,1853.27,Port of Yokohama
2026-08-01,VLSFO,605.13,Port of Klang
2026-08-01,LSMGO,796.87,Port of Klang
2026-08-01,LNG,529.9,Port of Klang
2026-08-01,Bio-Methanol,506.38,Port of Klang
2026-08-01,Biofuel (B30),794.69,Port of Klang
2026-08-01,Ammonia,744.2,Port of Klang
2026-08-01,Hydrogen,1851.71,Port of Klang
2026-08-01,VLSFO,620.54,Port of Tanjung Pelepas
2026-08-01,LSMGO,800.29,Port of Tanjung Pelepas
2026-08-01,LNG,548.28,Port of Tanjung Pelepas
2026-08-01,Bio-Methanol,501.87,Port of Tanjung Pelepas
2026-08-01,Biofuel (B30),765.96,Port of Tanjung Pelepas
2026-08-01,Ammonia,734.46,Port of Tanjung Pelepas
2026-08-01,Hydrogen,1843.03,Port of Tanjung Pelepas
2026-08-02,VLSFO,606.33,Port of Singapore
2026-08-02,LSMGO,803.29,Port of Singapore
2026-08-02,LNG,551.29,Port of Singapore
2026-08-02,Bio-Methanol,504.44,Port of Singapore
2026-08-02,Biofuel (B30),784.66,Port of Singapore
2026-08-02,Ammonia,736.87,Port of Singapore
2026-08-02,Hydrogen,1862.44,Port of Singapore
2026-08-02,VLSFO,613.77,Port of Shanghai
2026-08-02,LSMGO,782.95,Port of Shanghai
2026-08-02,LNG,532.4,Port of Shanghai
2026-08-02,Bio-Methanol,511.84,Port of Shanghai
2026-08-02,Biofuel (B30),772.88,Port of Shanghai
2026-08-02,Ammonia,742.54,Port of Shanghai
2026-08-02,Hydrogen,1861.93,Port of Shanghai
2026-08-02,VLSFO,611.98,Port of Ningbo-Zhoushan
2026-08-02,LSMGO,781.58,Port of Ningbo-Zhoushan
2026-08-02,LNG,554.93,Port of Ningbo-Zhoushan
2026-08-02,Bio-Methanol,510.29,Port of Ningbo-Zhoushan
2026-08-02,Biofuel (B30),767.73,Port of Ningbo-Zhoushan
2026-08-02,Ammonia,726.41,Port of Ningbo-Zhoushan
2026-08-02,Hydrogen,1838.29,Port of Ningbo-Zhoushan
2026-08-02,VLSFO,618.82,Port of Shenzhen
2026-08-02,LSMGO,798.76,Port of Shenzhen
2026-08-02,LNG,537.66,Port of Shenzhen
2026-08-02,Bio-Methanol,496.91,Port of Shenzhen
2026-08-02,Biofuel (B30),776.45,Port of Shenzhen
2026-08-02,Ammonia,754.88,Port of Shenzhen
2026-08-02,Hydrogen,1850.87,Port of Shenzhen
2026-08-02,VLSFO,629.13,Port of Busan
2026-08-02,LSMGO,800.82,Port of Busan
2026-08-02,LNG,525.34,Port of Busan
2026-08-02,Bio-Methanol,516.62,Port of Busan
2026-08-02,Biofuel (B30),785.45,Port of Busan
2026-08-02,Ammonia,741.11,Port of Busan
2026-08-02,Hydrogen,1843.0,Port of Busan
2026-08-02,VLSFO,619.23,Port of Hong Kong
2026-08-02,LSMGO,778.35,Port of Hong Kong
2026-08-02,LNG,538.04,Port of Hong Kong
2026-08-02,Bio-Methanol,508.61,Port of Hong Kong
2026-08-02,Biofuel (B30),793.61,Port of Hong Kong
2026-08-02,Ammonia,751.28,Port of Hong Kong
2026-08-02,Hydrogen,1842.9,Port of Hong Kong
2026-08-02,VLSFO,615.02,Port of Tokyo
2026-08-02,LSMGO,780.36,Port of Tokyo
2026-08-02,LNG,552.38,Port of Tokyo
2026-08-02,Bio-Methanol,521.12,Port of Tokyo
2026-08-02,Biofuel (B30),773.95,Port of Tokyo
2026-08-02,Ammonia,744.17,Port of Tokyo
2026-08-02,Hydrogen,1853.27,Port of Tokyo
2026-08-02,VLSFO,604.59,Port of Yokohama
2026-08-02,LSMGO,797.88,Port of Yokohama
2026-08-02,LNG,541.18,Port of Yokohama
2026-08-02,Bio-Methanol,518.36,Port of Yokohama
2026-08-02,Biofuel (B30),780.91,Port of Yokohama
2026-08-02,Ammonia,725.02,Port of Yokohama
2026-08-02,Hydrogen,1844.72,Port of Yokohama
2026-08-02,VLSFO,600.58,Port of Klang
2026-08-02,LSMGO,802.87,Port of Klang
2026-08-02,LNG,551.36,Port of Klang
2026-08-02,Bio-Methanol,519.95,Port of Klang
2026-08-02,Biofuel (B30),774.23,Port of Klang
2026-08-02,Ammonia,726.74,Port of Klang
2026-08-02,Hydrogen,1861.34,Port of Klang
2026-08-02,VLSFO,628.41,Port of Tanjung Pelepas
2026-08-02,LSMGO,777.57,Port of Tanjung Pelepas
2026-08-02,LNG,539.58,Port of Tanjung Pelepas
2026-08-02,Bio-Methanol,497.08,Port of Tanjung Pelepas
2026-08-02,Biofuel (B30),787.82,Port of Tanjung Pelepas
2026-08-02,Ammonia,747.98,Port of Tanjung Pelepas
2026-08-02,Hydrogen,1838.85,Port of Tanjung Pelepas
2026-08-03,VLSFO,614.26,Port of Singapore
2026-08-03,LSMGO,791.49,Port of Singapore
2026-08-03,LNG,532.95,Port of Singapore
2026-08-03,Bio-Methanol,521.17,Port of Singapore
2026-08-03,Biofuel (B30),777.69,Port of Singapore
2026-08-03,Ammonia,731.35,Port of Singapore
2026-08-03,Hydrogen,1851.18,Port of Singapore
2026-08-03,VLSFO,621.9,Port of Shanghai
2026-08-03,LSMGO,781.03,Port of Shanghai
2026-08-03,LNG,534.35,Port of Shanghai
2026-08-03,Bio-Methanol,524.85,Port of Shanghai
2026-08-03,Biofuel (B30),784.5,Port of Shanghai
2026-08-03,Ammonia,738.14,Port of Shanghai
2026-08-03,Hydrogen,1850.53,Port of Shanghai
2026-08-03,VLSFO,603.63,Port of Ningbo-Zhoushan
2026-08-03,LSMGO,781.74,Port of Ningbo-Zhoushan
2026-08-03,LNG,535.14,Port of Ningbo-Zhoushan
2026-08-03,Bio-Methanol,512.65,Port of Ningbo-Zhoushan
2026-08-03,Biofuel (B30),771.9,Port of Ningbo-Zhoushan
2026-08-03,Ammonia,731.61,Port of Ningbo-Zhoushan
2026-08-03,Hydrogen,1837.13,Port of Ningbo-Zhoushan
2026-08-03,VLSFO,618.93,Port of Shenzhen
2026-08-03,LSMGO,781.87,Port of Shenzhen
2026-08-03,LNG,552.16,Port of Shenzhen
2026-08-03,Bio-Methanol,520.79,Port of Shenzhen
2026-08-03,Biofuel (B30),767.13,Port of Shenzhen
2026-08-03,Ammonia,732.14,Port of Shenzhen
2026-08-03,Hydrogen,1855.07,Port of Shenzhen
2026-08-03,VLSFO,606.43,Port of Busan
2026-08-03,LSMGO,778.97,Port of Busan
2026-08-03,LNG,553.07,Port of Busan
2026-08-03,Bio-Methanol,512.13,Port of Busan
2026-08-03,Biofuel (B30),779.18,Port of Busan
2026-08-03,Ammonia,748.54,Port of Busan
2026-08-03,Hydrogen,1859.22,Port of Busan
2026-08-03,VLSFO,605.71,Port of Hong Kong
2026-08-03,LSMGO,777.91,Port of Hong Kong
2026-08-03,LNG,537.93,Port of Hong Kong
2026-08-03,Bio-Methanol,507.71,Port of Hong Kong
2026-08-03,Biofuel (B30),779.01,Port of Hong Kong
2026-08-03,Ammonia,746.87,Port of Hong Kong
2026-08-03,Hydrogen,1855.2,Port of Hong Kong
2026-08-03,VLSFO,629.52,Port of Tokyo
2026-08-03,LSMGO,777.95,Port of Tokyo
2026-08-03,LNG,537.08,Port of Tokyo
2026-08-03,Bio-Methanol,505.18,Port of Tokyo
2026-08-03,Biofuel (B30),790.85,Port of Tokyo
2026-08-03,Ammonia,732.46,Port of Tokyo
2026-08-03,Hydrogen,1840.71,Port of Tokyo
2026-08-03,VLSFO,613.46,Port of Yokohama
2026-08-03,LSMGO,787.66,Port of Yokohama
