Voyage_ID,Vessel_IMO,Departure_Port,Arrival_Port,Distance_NM,Travel_Time_Hours,Average_Speed,Cargo_Weight,Fuel_Consumed,Arrival_Delay
VOY-10001,9800001,Port of Piraeus,Port of New York & New Jersey,5347.3,424.4,12.6,168700.0,2716.54,6.5
VOY-10002,9800001,Port of Chennai,Port of Santos,9644.8,679.2,14.2,165300.0,6745.37,6.5
VOY-10003,9800001,Port of Tanjung Pelepas,Port of Singapore,23.4,1.7,14.0,123100.0,14.16,0.0
VOY-10004,9800001,Port of Piraeus,Port of Shenzhen,5754.4,439.3,13.1,136000.0,2988.63,24.0
VOY-10005,9800001,Port of Valencia,Port of Algeciras,391.2,32.3,12.1,162800.0,196.94,0.0
VOY-10006,9800001,Port of Valencia,Port of Rotterdam,968.2,77.5,12.5,123100.0,422.62,0.0
VOY-10007,9800001,Port of Valencia,Port of Hong Kong,6992.3,537.9,13.0,162200.0,3748.52,6.5
VOY-10008,9800001,Port of Antwerp-Bruges,Port of Le Havre,242.9,19.3,12.6,153100.0,127.51,12.0
VOY-10009,9800001,Port of Buenos Aires,Jawaharlal Nehru Port (JNPT),10080.2,757.9,13.3,145900.0,5661.29,0.0
VOY-10010,9800001,Port of Shenzhen,Port of Long Beach,7871.8,570.4,13.8,167700.0,4833.02,0.0
VOY-10011,9800001,Port of Le Havre,Port of Kaohsiung,6793.2,503.2,13.5,123000.0,3782.7,24.0
VOY-10012,9800001,Port of Tokyo,Port of Klang,3611.4,263.6,13.7,124200.0,1949.85,1.5
VOY-10013,9800002,Port of Mundra,Port of Le Havre,4484.0,291.2,15.4,61000.0,1881.91,24.0
VOY-10014,9800002,Port of Piraeus,Port of Ningbo-Zhoushan,5834.8,402.4,14.5,58700.0,2053.11,0.0
VOY-10015,9800002,Port of Le Havre,Port of New York & New Jersey,3819.9,248.0,15.4,51900.0,1538.07,0.0
VOY-10016,9800002,Port of Klang,Port of Genoa,6728.4,454.6,14.8,62300.0,2488.23,6.5
VOY-10017,9800002,Port of Colon (Panama),Port of Savannah,1707.2,117.7,14.5,57600.0,619.11,6.5
VOY-10018,9800002,Port of Mundra,Port of Tangier Med,4899.4,316.1,15.5,68600.0,2273.77,3.0
VOY-10019,9800002,Port of Melbourne,Port of Yokohama,5510.5,377.4,14.6,61300.0,2052.33,3.0
VOY-10020,9800002,Port of Melbourne,Port of Shanghai,5436.8,350.8,15.5,62200.0,2426.94,6.5
VOY-10021,9800002,Port of Sydney,Port of Chennai,6159.3,459.6,13.4,47500.0,1635.31,0.0
VOY-10022,9800002,Port of Hamburg,Port of Shanghai,5752.0,380.9,15.1,57900.0,2232.62,3.0
VOY-10023,9800002,Port of Colon (Panama),Port of Tangier Med,5397.7,377.5,14.3,68100.0,2056.49,0.0
VOY-10024,9800002,Port of Singapore,Port of Klang,224.2,15.8,14.2,59600.0,77.84,3.0
VOY-10025,9800002,Port of Vancouver,Port of Le Havre,5244.0,364.2,14.4,53400.0,1784.84,24.0
VOY-10026,9800002,King Abdullah Port,Port of Hong Kong,5144.9,362.3,14.2,51200.0,1754.37,12.0
VOY-10027,9800003,Port of Ningbo-Zhoushan,Port of Colombo,3402.3,234.6,14.5,34400.0,955.41,6.5
VOY-10028,9800003,Port of Rotterdam,Port of Chennai,5328.4,394.7,13.5,34500.0,1341.76,3.0
VOY-10029,9800003,Port of Colon (Panama),Port of Le Havre,5735.2,412.6,13.9,50400.0,1791.73,0.0
