Date,Latitude,Longitude,Wind_Speed,Wave_Height,Temperature,Visibility,Pressure,Ocean_Current
2026-01-01,-0.1464,102.6163,22.5,1.6,29.4,11.7,1023.3,0.36
2026-01-01,33.567,121.4766,27.2,2.19,14.1,7.4,1020.6,0.5
2026-01-01,28.0701,120.9992,21.4,2.97,16.9,9.5,1016.5,1.91
2026-01-01,22.4686,114.8441,14.0,2.38,17.3,9.2,1017.8,0.57
2026-01-01,36.7665,129.0131,25.9,1.77,14.2,12.1,1007.1,2.32
2026-01-01,21.6192,111.3958,14.3,1.91,17.6,9.6,1020.0,0.62
2026-01-01,36.7367,140.4104,17.1,2.8,13.1,8.0,1006.5,1.5
2026-01-01,33.4458,141.5811,17.5,2.04,15.9,11.8,1005.1,2.15
2026-01-01,5.9728,100.4564,24.1,1.54,24.4,14.6,1022.5,1.09
2026-01-01,-0.2675,104.912,10.3,2.05,28.3,8.4,1006.0,1.63
2026-01-01,19.8515,122.5607,15.0,2.15,18.5,15.0,1014.9,1.64
2026-01-01,-36.7503,152.3478,20.0,2.26,13.9,10.8,999.6,1.73
2026-01-01,-37.0317,143.7698,24.2,2.75,12.7,11.8,999.1,2.03
2026-01-01,16.5794,74.2641,12.2,1.36,20.0,8.6,1001.0,0.78
2026-01-01,13.2216,78.4807,21.7,1.6,21.0,11.0,1001.2,2.25
2026-01-02,0.2739,100.8684,19.5,2.35,29.2,12.4,999.5,0.4
2026-01-02,31.3006,122.8151,13.9,1.93,14.8,14.9,1003.9,1.22
2026-01-02,27.4672,119.5922,12.3,1.9,18.5,9.5,1017.2,0.41
2026-01-02,24.0923,111.3332,25.7,2.46,17.3,9.9,1008.1,1.57
2026-01-02,37.4505,126.6333,26.8,1.94,13.0,14.7,1003.2,1.05
2026-01-02,24.4233,115.9688,22.3,2.7,17.0,12.6,996.8,2.27
2026-01-02,33.6326,139.1465,22.5,2.91,15.6,8.5,1006.4,0.99
2026-01-02,32.6166,140.7448,26.6,3.18,13.8,14.4,998.4,1.1
